Time Unit,Vervet Population,Leopard Population,Hawk Population,Python Population,Predator Population,Deaths due to Leopard,Deaths due to Hawk,Deaths due to Python,Total Predation Deaths,Starvation Deaths,Average Fear Level,Average Hunger Level,Average Energy Level
4592,59,2,4,8,14,8,27,21,56,209,467,255.2892387344698,524.3717782146828
4593,59,2,4,8,14,8,27,21,56,209,467,253.93143353131984,525.7295834178326
4594,59,2,4,8,14,8,27,21,56,209,467,252.58607640121042,527.0749405479423
4595,59,2,4,8,14,8,27,21,56,209,467,251.7532428854781,527.9077740636743
4596,59,2,4,8,14,8,27,21,56,209,467,250.82085173119472,528.840165217958
4597,59,2,4,8,14,8,27,21,56,209,467,249.89110837029318,529.7699085788594
4598,59,2,4,8,14,8,27,21,56,209,467,249.0152418238624,530.6457751252904
4599,59,2,4,8,14,8,27,21,56,209,467,248.24357135756543,531.4174455915871
4600,59,2,4,8,14,8,27,21,56,209,467,247.73937369091567,531.9216432582368
4601,59,2,4,8,14,8,27,21,56,209,467,247.23636149516076,532.4246554539919
4602,59,2,4,8,14,8,27,21,56,209,467,246.71954354553017,532.9414734036222
4603,59,2,4,8,14,8,27,21,56,209,467,246.30598504135565,533.355031907797
4604,59,2,4,8,14,8,27,21,56,209,467,245.79870028649114,533.8623166626614
4605,59,2,4,8,14,8,27,21,56,209,467,245.45300619269307,534.2080107564597
4606,59,2,4,8,14,8,27,21,56,209,467,244.79813064362764,534.862886305525
4607,59,2,4,8,14,8,27,21,56,209,467,244.24101689991298,535.4200000492395
4608,59,2,4,8,14,8,27,21,56,209,467,243.36231857264391,536.2986983765087
4609,59,2,4,8,14,8,27,21,56,209,467,242.4751609902331,537.1858559589194
4610,59,2,4,8,14,8,27,21,56,209,467,241.5977485540368,538.0632683951158
4611,59,2,4,8,14,8,27,21,56,209,467,240.82323267253764,538.8377842766148
4612,59,2,4,8,14,8,27,21,56,209,467,239.3977628623478,540.2632540868049
4613,59,2,4,8,14,8,27,21,56,209,467,238.5360651779905,541.1249517711618
4614,59,2,4,8,14,8,27,21,56,209,467,237.59283025259003,542.0681866965624
4615,59,2,4,8,14,8,27,21,56,209,467,236.57333363880144,543.087683310351
4616,59,2,4,8,14,8,27,21,56,209,467,235.7402426164846,543.920774332668
4617,59,2,4,8,14,8,27,21,56,209,467,234.4340592623611,545.2269576867915
4618,59,2,4,8,14,8,27,21,56,209,467,233.7939828895692,545.8670340595834
4619,59,2,4,8,14,8,27,21,56,209,467,232.95499561713882,546.7060213320137
4620,59,2,4,8,14,8,27,21,56,209,481,265.3093798856975,514.3516370634551
4621,59,2,4,8,14,8,27,21,56,209,467,262.88253614952765,516.7784807996248
4622,59,2,4,8,14,8,27,21,56,209,467,261.81821004351497,517.8428069056378
4623,59,2,4,8,14,8,27,21,56,209,467,260.85984820168295,518.8011687474695
4624,59,2,4,8,14,8,27,21,56,209,467,260.20250659406105,519.4585103550916
4625,59,2,4,8,14,8,27,21,56,209,467,259.548939897254,520.1120770518986
4626,59,2,4,8,14,8,27,21,56,209,467,258.9859631173173,520.6750538318352
4627,59,2,4,8,14,8,27,21,56,209,467,258.5214376732064,521.1395792759462
4628,59,2,4,8,14,8,27,21,56,209,467,257.96365965373326,521.6973572954194
4629,59,2,4,8,14,8,27,21,56,209,467,257.49992241925736,522.1610945298951
4630,59,2,4,8,14,8,27,21,56,209,467,257.09010647780565,522.5709104713469
4631,59,2,4,8,14,8,27,21,56,209,467,256.76531564652095,522.8957013026314
4632,59,2,4,8,14,8,27,21,56,209,467,256.3422142236374,523.3188027255152
4633,59,2,4,8,14,8,27,21,56,209,467,256.0149448222282,523.6460721269242
4634,59,2,4,8,14,8,27,21,56,209,467,255.68682607155577,523.9741908775968
4635,59,2,4,8,14,8,27,21,56,209,467,255.3585793135462,524.3024376356063
4636,59,2,4,8,14,8,27,21,56,209,467,255.11586813441266,524.54514881474
4637,59,2,4,8,14,8,27,21,56,209,467,254.78674427259227,524.8742726765603
4638,59,2,4,8,14,8,27,21,56,209,467,254.3480935078807,525.3129234412718
4639,59,2,4,8,14,8,27,21,56,209,467,253.8060563916227,525.8549605575298
4640,59,2,4,8,14,8,27,21,56,209,467,253.26581402473212,526.3952029244206
4641,59,2,4,8,14,8,27,21,56,209,467,252.83785056580012,526.8231663833525
4642,59,2,4,8,14,8,27,21,56,209,467,252.41202661428693,527.2489903348657
4643,59,2,4,8,14,8,27,21,56,209,467,252.07647009111938,527.5845468580331
4644,59,2,4,8,14,8,27,21,56,209,467,251.64128727727208,528.0197296718806
4645,59,2,4,8,14,8,27,21,56,209,467,251.3058680629963,528.3551488861563
4646,59,2,4,8,14,8,27,21,56,209,467,251.05802944081836,528.6029875083342
4647,59,2,4,8,14,8,27,21,56,209,467,250.71051852682672,528.950498422326
4648,59,2,4,8,14,8,27,21,56,209,467,250.3667691372409,529.2942478119115
4649,59,2,4,8,14,8,27,21,56,209,467,250.10970831896455,529.551308630188
4650,59,2,4,8,14,8,27,21,56,209,503,286.4153504927965,493.2456664563559
4651,59,2,4,8,14,8,27,21,56,209,467,284.0071966957515,495.65382025340097
4652,59,2,4,8,14,8,27,21,56,209,467,283.26848779018616,496.3925291589664
4653,59,2,4,8,14,8,27,21,56,209,467,282.8130442503794,496.84797269877316
4654,59,2,4,8,14,8,27,21,56,209,467,282.44909252116184,497.21192442799065
4655,59,2,4,8,14,8,27,21,56,209,467,281.82055657894966,497.84046037020283
4656,59,2,4,8,14,8,27,21,56,209,467,281.2942740985791,498.36674285057353
4657,59,2,4,8,14,8,27,21,56,209,467,280.6707222494778,498.99029469967456
4658,59,2,4,8,14,8,27,21,56,209,467,280.3802998415113,499.28071710764124
4659,59,2,4,8,14,8,27,21,56,209,467,280.0880098389127,499.57300711024
4660,59,2,4,8,14,8,27,21,56,209,467,279.9986012177295,499.66241573142304
4661,59,2,4,8,14,8,27,21,56,209,467,280.0654150911349,499.5956018580176
4662,59,2,4,8,14,8,27,21,56,209,467,280.1195170739564,499.5414998751962
4663,59,2,4,8,14,8,27,21,56,209,467,280.1741702426944,499.48684670645815
4664,59,2,4,8,14,8,27,21,56,209,467,280.1057902084151,499.5552267407374
4665,59,2,4,8,14,8,27,21,56,209,467,280.1594745514997,499.50154239765277
4666,59,2,4,8,14,8,27,21,56,209,467,279.9683415366655,499.692675412487
4667,59,2,4,8,14,8,27,21,56,209,467,279.8984351504574,499.7625817986952
4668,59,2,4,8,14,8,27,21,56,209,467,279.8289256913435,499.83209125780905
4669,59,2,4,8,14,8,27,21,56,209,467,279.0992012133394,500.5618157358134
4670,59,2,4,8,14,8,27,21,56,209,467,278.4972296149329,501.1637873342197
4671,59,2,4,8,14,8,27,21,56,209,467,277.8955649184455,501.7654520307071
4672,59,2,4,8,14,8,27,21,56,209,467,277.302778420803,502.35823852834955
4673,59,2,4,8,14,8,27,21,56,209,467,276.93635695178494,502.7246599973677
4674,59,2,4,8,14,8,27,21,56,209,467,276.47349449834013,503.1875224508126
4675,59,2,4,8,14,8,27,21,56,209,467,276.01587470907174,503.64514224008076
4676,59,2,4,8,14,8,27,21,56,209,467,275.5642751782077,504.09674177094496
4677,59,2,4,8,14,8,27,21,56,209,467,275.21749453291005,504.4435224162426
